id,order_id,product_id,quantity,customer_id
216,10328,68,10,28
217,10329,19,10,75
218,10329,30,8,75
219,10329,38,20,75
220,10329,56,12,75
221,10330,26,50,46
222,10330,72,25,46
223,10331,54,15,9
224,10332,18,40,51
225,10332,42,10,51
226,10332,47,16,51
227,10333,14,10,87
228,10333,21,10,87
229,10333,71,40,87
230,10334,52,8,84
231,10334,68,10,84
232,10335,2,7,37
233,10335,31,25,37
234,10335,32,6,37
235,10335,51,48,37
236,10336,4,18,60
237,10337,23,40,25
238,10337,26,24,25
239,10337,36,20,25
240,10337,37,28,25
241,10337,72,25,25
242,10338,17,20,55
243,10338,30,15,55
244,10339,4,10,51
245,10339,17,70,51
246,10339,62,28,51
247,10340,18,20,9
248,10340,41,12,9
249,10340,43,40,9
250,10341,33,8,73
251,10341,59,9,73
252,10342,2,24,25
253,10342,31,56,25
254,10342,36,40,25
255,10342,55,40,25
256,10343,64,50,44
257,10343,68,4,44
258,10343,76,15,44
259,10344,4,35,89
260,10344,8,70,89
261,10345,8,70,63
262,10345,19,80,63
263,10345,42,9,63
264,10346,17,36,65
265,10346,56,20,65
266,10347,25,10,21
267,10347,39,50,21
268,10347,40,4,21
269,10347,75,6,21
270,10348,1,15,86
271,10348,23,25,86
272,10349,54,24,75
273,10350,50,15,41
274,10350,69,18,41
275,10351,38,20,20
276,10351,41,13,20
277,10351,44,77,20
278,10351,65,10,20
279,10352,24,10,28
280,10352,54,20,28
281,10353,11,12,59
282,10353,38,50,59
283,10354,1,12,58
284,10354,29,4,58
285,10355,24,25,4
286,10355,57,25,4
287,10356,31,30,86
288,10356,55,12,86
289,10356,69,20,86
290,10357,10,30,46
291,10357,26,16,46
292,10357,60,8,46
293,10358,24,10,41
294,10358,34,10,41
295,10358,36,20,41
296,10359,16,56,72
297,10359,31,70,72
298,10359,60,80,72
299,10360,28,30,7
300,10360,29,35,7
301,10360,38,10,7
302,10360,49,35,7
303,10360,54,28,7
304,10361,39,54,63
305,10361,60,55,63
306,10362,25,50,9
307,10362,51,20,9
308,10362,54,24,9
309,10363,31,20,17
310,10363,75,12,17
311,10363,76,12,17
312,10364,69,30,19
313,10364,71,5,19
314,10365,11,24,3
315,10366,65,5,29
316,10366,77,5,29
317,10367,34,36,83
318,10367,54,18,83
319,10367,65,15,83
320,10367,77,7,83
321,10368,21,5,20
322,10368,28,13,20
323,10368,57,25,20
324,10368,64,35,20
325,10369,29,20,75
326,10369,56,18,75
327,10370,1,15,14
328,10370,64,30,14
329,10370,74,20,14
330,10371,36,6,41
331,10372,20,12,62
332,10372,38,40,62
333,10372,60,70,62
334,10372,72,42,62
335,10373,58,80,37
336,10373,71,50,37
337,10374,31,30,91
338,10374,58,15,91
339,10375,14,15,36
340,10375,54,10,36
341,10376,31,42,51
342,10377,28,20,72
343,10377,39,20,72
344,10378,71,6,24
345,10379,41,8,61
346,10379,63,16,61
347,10379,65,20,61
348,10380,30,18,37
349,10380,53,20,37
350,10380,60,6,37
351,10380,70,30,37
352,10381,74,14,46
353,10382,5,32,20
354,10382,18,9,20
355,10382,29,14,20
356,10382,33,60,20
357,10382,74,50,20
358,10383,13,20,4
359,10383,50,15,4
360,10383,56,20,4
361,10384,20,28,5
362,10384,60,15,5
363,10385,7,10,75
364,10385,60,20,75
365,10385,68,8,75
366,10386,24,15,21
367,10386,34,10,21
368,10387,24,15,70
369,10387,28,6,70
370,10387,59,12,70
371,10387,71,15,70
372,10388,45,15,72
373,10388,52,20,72
374,10388,53,40,72
375,10389,10,16,10
376,10389,55,15,10
377,10389,62,20,10
378,10389,70,30,10
379,10390,31,60,20
380,10390,35,40,20
381,10390,46,45,20
382,10390,72,24,20
383,10391,13,18,17
384,10392,69,50,59
385,10393,2,25,71
386,10393,14,42,71
387,10393,25,7,71
388,10393,26,70,71
389,10393,31,32,71
390,10394,13,10,36
391,10394,62,10,36
392,10395,46,28,35
393,10395,53,70,35
394,10395,69,8,35
395,10396,23,40,25
396,10396,71,60,25
397,10396,72,21,25
398,10397,21,10,60
399,10397,51,18,60
400,10398,35,30,71
401,10398,55,120,71
402,10399,68,60,83
403,10399,71,30,83
404,10399,76,35,83
405,10399,77,14,83
406,10400,29,21,19
407,10400,35,35,19
408,10400,49,30,19
409,10401,30,18,65
410,10401,56,70,65
411,10401,65,20,65
412,10401,71,60,65
413,10402,23,60,20
414,10402,63,65,20
415,10403,16,21,20
416,10403,48,70,20
417,10404,26,30,49
418,10404,42,40,49
419,10404,49,30,49
420,10405,3,50,47
421,10406,1,10,62
422,10406,21,30,62
423,10406,28,42,62
424,10406,36,5,62
425,10406,40,2,62
426,10407,11,30,56
427,10407,69,15,56
428,10407,71,15,56
429,10408,37,10,23
430,10408,54,6,23
431,10408,62,35,23
432,10409,14,12,54
433,10409,21,12,54
434,10410,33,49,10
435,10410,59,16,10
436,10411,41,25,10
437,10411,44,40,10
438,10411,59,9,10
439,10412,14,20,87
440,10413,1,24,41
441,10413,62,40,41
442,10413,76,14,41
443,10414,19,18,21
444,10414,33,50,21
445,10415,17,2,36
446,10415,33,20,36
447,10416,19,20,87
448,10416,53,10,87
449,10416,57,20,87
450,10417,38,50,73
451,10417,46,2,73
452,10417,68,36,73
453,10417,77,35,73
454,10418,2,60,63
455,10418,47,55,63
456,10418,61,16,63
457,10418,74,15,63
458,10419,60,60,68
459,10419,69,20,68
460,10420,9,20,88
461,10420,13,2,88
462,10420,70,8,88
463,10420,73,20,88
464,10421,19,4,61
465,10421,26,30,61
466,10421,53,15,61
467,10421,77,10,61
468,10422,26,2,27
469,10423,31,14,31
470,10423,59,20,31
471,10424,35,60,51
472,10424,38,49,51
473,10424,68,30,51
474,10425,55,10,41
475,10425,76,20,41
476,10426,56,5,29
477,10426,64,7,29
478,10427,14,35,59
479,10428,46,20,66
480,10429,50,40,37
481,10429,63,35,37
482,10430,17,45,20
483,10430,21,50,20
484,10430,56,30,20
485,10430,59,70,20
486,10431,17,50,10
487,10431,40,50,10
488,10431,47,30,10
489,10432,26,10,75
490,10432,54,40,75
491,10433,56,28,60
492,10434,11,6,24
493,10434,76,18,24
494,10435,2,10,16
495,10435,22,12,16
496,10435,72,10,16
497,10436,46,5,7
498,10436,56,40,7
499,10436,64,30,7
500,10436,75,24,7
501,10437,53,15,87
502,10438,19,15,79
503,10438,34,20,79
504,10438,57,15,79
505,10439,12,15,51
506,10439,16,16,51
507,10439,64,6,51
508,10439,74,30,51
509,10440,2,45,71
510,10440,16,49,71
511,10440,29,24,71
512,10440,61,90,71
513,10441,27,50,55
514,10442,11,30,20
515,10442,54,80,20
516,10442,66,60,20
517,10443,11,6,66
518,10443,28,12,66
